izquierda,centro,derecha,accion
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
59,1007,57,adelante
55,1006,53,adelante
55,1007,52,adelante
56,1006,53,adelante
57,1007,53,adelante
57,1007,52,adelante
57,1007,53,adelante
58,1007,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1007,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
56,1006,54,adelante
55,1006,54,adelante
55,1006,54,adelante
56,1006,53,adelante
55,1007,54,adelante
56,1006,53,adelante
56,1007,53,adelante
56,1006,54,adelante
56,1006,54,adelante
57,1007,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,54,adelante
56,1006,55,adelante
55,1005,54,adelante
55,1006,54,adelante
56,1006,53,adelante
56,1006,54,adelante
55,1007,54,adelante
56,1007,53,adelante
57,1007,54,adelante
57,1006,54,adelante
57,1007,54,adelante
58,1006,54,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
55,1006,55,adelante
55,1006,55,adelante
54,1006,55,adelante
54,1006,52,adelante
55,1006,51,adelante
55,1006,53,adelante
55,1007,52,adelante
56,1006,52,adelante
57,1007,53,adelante
57,1006,54,adelante
57,1006,54,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
57,1007,55,adelante
62,1007,59,adelante
58,1007,56,adelante
58,1006,56,adelante
55,1006,56,adelante
56,1006,56,adelante
55,1007,56,adelante
55,1007,52,adelante
55,1006,51,adelante
58,1006,55,adelante
61,1006,59,adelante
62,1007,58,adelante
61,1007,56,adelante
60,1006,57,adelante
62,1007,58,adelante
62,1007,60,adelante
61,1006,59,adelante
60,1007,57,adelante
61,1006,59,adelante
61,1006,59,adelante
61,1006,59,adelante
60,1006,58,adelante
59,1006,56,adelante
59,1006,56,adelante
58,1006,56,adelante
63,1006,61,adelante
59,1006,57,adelante
62,1006,60,adelante
61,1006,58,adelante
60,1006,60,adelante
59,1006,58,adelante
59,1006,57,adelante
58,1006,56,adelante
56,1006,55,adelante
60,1006,56,adelante
62,1006,60,adelante
63,1006,59,adelante
64,1006,58,adelante
63,1006,59,adelante
63,1006,60,adelante
63,1006,60,adelante
64,1006,61,adelante
62,1006,59,adelante
63,1006,61,adelante
63,1006,61,adelante
61,1006,59,adelante
60,1006,57,adelante
58,1006,55,adelante
62,1006,59,adelante
59,1006,57,adelante
61,1006,58,adelante
58,1006,56,adelante
58,1006,55,adelante
60,1007,57,adelante
57,1007,57,adelante
56,1007,57,adelante
56,1006,56,adelante
56,1007,54,adelante
56,1007,53,adelante
56,1006,52,adelante
56,1006,54,adelante
58,1006,55,adelante
58,1006,54,adelante
56,1006,53,adelante
57,1006,54,adelante
56,1007,53,adelante
55,1006,53,adelante
58,1007,55,adelante
59,1007,57,adelante
59,1007,56,adelante
59,1006,56,adelante
58,1006,56,adelante
58,1006,56,adelante
60,1006,58,adelante
60,1006,58,adelante
60,1007,57,adelante
60,1006,57,adelante
60,1007,58,adelante
60,1006,57,adelante
56,1006,57,adelante
56,1006,57,adelante
58,1006,58,adelante
58,1006,56,adelante
57,1006,54,adelante
57,1007,54,adelante
58,1007,54,adelante
58,1006,56,adelante
58,1007,54,adelante
58,1007,54,adelante
58,1006,55,adelante
59,1007,57,adelante
59,1007,56,adelante
58,1007,55,adelante
57,1006,55,adelante
57,1006,55,adelante
58,1006,55,adelante
58,1006,55,adelante
58,1006,55,adelante
58,1007,55,adelante
58,1006,56,adelante
60,1007,57,adelante
59,1006,56,adelante
57,1007,54,adelante
57,1007,54,adelante
55,1006,54,adelante
58,1007,59,adelante
58,1006,59,adelante
59,1006,56,adelante
57,1007,56,adelante
56,1006,54,adelante
59,1007,55,adelante
58,1007,55,adelante
57,1007,53,adelante
59,1007,55,adelante
58,1007,56,adelante
61,1006,58,adelante
60,1007,58,adelante
58,1007,56,adelante
58,1007,55,adelante
58,1007,55,adelante
59,1007,57,adelante
